Site Name,Location,Latitude,Longitude,Number of Employees,EM Manager,Type(s) of Cleanup Work Performed,FY 2019 Budget Request,Projected Lifecycle Completion Cost/Schedule,Major Contractor(s),Website,Facebook Link,Twitter Link,By the Numbers
Oak Ridge,"Oak Ridge, Tennessee (200 Administration Road, Oak Ridge TN 37830)",36.02409,-84.234908,"Approx. 2,075",Jay Mullis,Special Nuclear Materials and Spent Nuclear Fuel; Transuranic and Solid Waste Disposition; Facility Deactivation and Decommissioning,$408.53 million ,$18.39 - $18.72 billion / 2046,"<ul><li> URS-CH2M Oak Ridge, LLC (AECOM and Jacobs) --- Responsible for cleanup at East Tennessee Technology Park, Y-12 National Security Complex, Oak Ridge National Laboratory</li>
<li>Isotek Systems (wholly owned subsidiary of Atkins) --- Responsible for U-233 Disposition Project at the Oak Ridge National Laboratory</li>
<li><a href=""https://northwindgrp.com/companies/north-wind-solutions-llc/"">Northwind Solutions</a> --- Responsible for processing and packaging the site's transuranic waste at the Transuranic Waste Processing Facility</li>
<li> <a href=""https://www.p2s.com/"">Professional Project Services</a> --- Responsible for technical support including reviewing and evaluating the cost, schedule and technical approaches for upcoming and current cleanup projects. </li></ul>",https://www.energy.gov/orem/oak-ridge-office-environmental-management,https://www.facebook.com/OakRidgeOffice/,https://twitter.com/OakRidgeOffice,"<a href=""https://www.energy.gov/em/downloads/oak-ridge-site-cleanup-numbers"">Oak Ridge By The Numbers</a>"
Savannah River Site,"Aiken, S.C. ",33.554433,-81.69588,"Approx. 7,000 ",Michael Budney ,Special Nuclear Materials and Spent Nuclear Fuel; Tank Waste; Transuranic and Solid Waste Disposition; Facility Deactivation and Decommissioning; Soil and Groundwater Remediation ,$1.66 billion,$97.01 - $115.09 billion / 2065,"<ul><li><a href=""https://www.savannahrivernuclearsolutions.com/"">Savannah River Nuclear Solutions</a> (Fluor, Newport News Nuclear, Honeywell) --- Site management-and-operations contractor; manages Savannah River National Laboratory</li>
<li> <a href=""http://srremediation.com/"">Savannah River Remediation</a> (AECOM, Bechtel, Jacobs, BWXT) --- Site liquid waste cleanup contractor</li>
<li> <a href=""https://www.parsons.com/project/salt-waste-processing-facility/"">Parsons</a> --- Responsible for construction and commissioning of Salt Waste Processing Facility</li>
<li> <a href=""https://sro.srs.gov/centerrasrs.html"">Centerra</a> --- Site security contractor</li>
<li> <a href=""https://www.ameresco.com/portfolio-item/savannah-river-site-biomass-cogeneration-facility/"">Ameresco Federal Solutions</a> --- Responsible for site cogeneration facilities</li></ul>",https://www.srs.gov/general/srs-home.html,https://www.facebook.com/SavannahRiverSite/;https://www.facebook.com/SavannahRiverNationalLab,https://twitter.com/SRSNews,"<a href=""https://www.energy.gov/em/downloads/savannah-river-site-cleanup-numbers"">Savannah River By the Numbers</a><br><a href=""https://www.energy.gov/em/downloads/savannah-river-national-laboratory-numbers"">Savannah River National Laboratory By the Numbers</a>"
Idaho,"Idaho Falls, ID (INL &ndash; 1955 N. Freemont Avenue, Idaho Falls, Idaho 83415)",43.509518,-112.046808,"Approx. 1,800",Jack Zimmerman,Special Nuclear Materials and Spent Nuclear Fuel; Tank Waste; Transuranic and Solid Waste Disposition; Soil and Groundwater Remediation ,$359.23 million ,$18.73 billion - $21.43 billion / 2045-2060,"<ul><li> <a href=""https://fluor-idaho.com/"">Fluor Idaho</a> (wholly owned subsidiary of Fluor) --- Responsible for Idaho Cleanup Project
Spectra Tech Inc.   Responsible for NRC-licensed spent nuclear fuel storage facilities</li></ul>",https://www.id.energy.gov/,https://www.facebook.com/idahocleanupproject/,,"<a href=""https://www.energy.gov/em/downloads/idaho-site-cleanup-numbers"">Idaho By the Numbers</a>"
"Hanford<br>Richland Operations Office
","Richland, Washington (2420 Stevens Center Place, Richland WA 99354)",46.319062,-119.283701,"Approx. 3,800",Doug Shoop,Special Nuclear Materials and Spent Nuclear Fuel; Transuranic and Solid Waste Disposition; Facility Deactivation and Decommissioning; Soil and Groundwater Remediation,$747.09 million,$56.80 billion- $64.54 billion / 2070-2075,"<ul><li> <a href=""https://chprc.hanford.gov/"">CH2M Hill Plateau Remediation Company</a> (Jacobs) --- Responsible for Central Plateau cleanup</li>
<li> <a href=""https://msa.hanford.gov/"">Mission Support Alliance</a> (Leidos and Centerra Group) --- Responsible for site infrastructure services</li>
<li> <a href=""https://www.hanford.gov/health/"">HPM Corporation</a> --- Responsible for occupational medical services</li></ul>",https://www.hanford.gov/page.cfm/RL,https://www.facebook.com/HanfordSite,https://twitter.com/hanfordsite,
Office of River Protection,"Richland, Washington ",46.28569,-119.28446,"Approx. 5,300",Brian Vance,Tank Waste,$1.44 billion,$69.99 billion - $77.22 billion / 2070-2075,"<ul><li> <a href=""https://www.hanfordvitplant.com/"">Bechtel National</a> --- Responsible for design/construction/commissioning of the Waste Treatment and Immobilization Plant (WTP)</li>
<li> <a href=""http://wrpstoc.com/"">Washington River Protection Solutions</a> (AECOM and Atkins) --- Responsible for tank operations contract</li>
<li> Wastren Advantage --- Responsible for technical capabilities within the 222-S Laboratory</li></ul>",https://www.hanford.gov/page.cfm/ORP,https://www.facebook.com/riverprotection/,https://twitter.com/riverprotection,"<a href=""https://www.energy.gov/em/downloads/hanford-site-cleanup-numbers"">Hanford By the Numbers</a>"
Portsmouth,"Piketon, Ohio (Fluor BWXT Ports Corporate Address &ndash; 1862 Shyville Road, Piketon OH 45661",39.049376,-82.994688,"Approx. 2,500",Robert Edwards,Special Nuclear Materials and Spent Nuclear Fuel; Facility Deactivation and Decommissioning,$415.46 million,$17.49 billion - $18.50 billion / 2039-2041,"<ul><li> <a href=""http://www.fbportsmouth.com/"">Fluor-BWXT Portsmouth, LLC</a>  (Fluor and BWXT) --- Site D&D contractor</li>
<li> <a href=""http://duf6-mcs.com/"">Mid-America Conversion Services, LLC</a> (Atkins, Westinghouse, Fluor) --- Responsible for operation of site depleted uranium hexafluoride (DUF6) conversion plant</li>
<li> Restoration Services Inc.  --- Responsible for technical support services</li>
<li> <a href=""https://www.pma-iss.com/"">Portsmouth Mission Alliance, LLC</a> (North Wind and Swift & Staley) --- Responsible for infrastructure support services</li></ul>",https://www.energy.gov/pppo/portsmouth-site,https://www.facebook.com/DOE.PPPO/,,"<a href=""https://www.energy.gov/em/downloads/portsmouth-site-cleanup-numbers"">Portsmouth By the Numbers</a>"
Paducah ,"Paducah, Kentucky (5501 Hobbs Road  Kevil, KY 42053)",37.078186,-88.829622,"Approx. 1,250",Robert Edwards,Special Nuclear Materials and Spent Nuclear Fuel; Facility Deactivation and Decommissioning,$270.22 million,$34.93 billion - $41.07 billion / 2065-2070,"<ul><li> <a href=""https://fourriversnuclearpartnership.com/"">Four Rivers Nuclear Partnership, LLC</a> (Jacobs, Fluor, BWXT) --- Site environmental remediation contractor</li>
<li> <a href=""http://duf6-mcs.com/"">Mid-America Conversion Services, LLC</a> (Atkins, Westinghouse, Fluor) --- Responsible for operation of site depleted uranium hexafluoride (DUF6) conversion plant</li>
<li> Swift and Staley --- Responsible for infrastructure support services</li>
<li>Pro2Serve --- Responsible for environmental technical services</li></ul>",https://www.energy.gov/pppo/paducah-site,https://www.facebook.com/DOE.PPPO/,,"<a href=""https://www.energy.gov/em/downloads/paducah-site-cleanup-numbers"">Paducah By the Numbers</a>"
Nevada National Security Site,"65 miles northwest of Las Vegas, Nevada  ",36.17372,-115.10647,Approx. 120 ,Robert Boehlecke,Transuranic and Solid Waste Disposition; Soil and Groundwater Remediation,$60.14 million,$2.66 billion / 2030,Navarro Research and Engineering --- responsible for site environmental remediation,https://www.nnss.gov/,https://www.facebook.com/NNSANevada/,https://twitter.com/nnsanevada,"<a href=""https://www.energy.gov/em/downloads/nevada-national-security-site-cleanup-numbers"">Nevada National Security Site Cleanup By the Numbers</a>"
Los Alamos National Laboratory,"Los Alamos, New Mexico (Environmental Management Los Alamos Field Office is located at 1900 Diamond Drive, Los Alamos, NM 87544)",35.892991,-106.318942,Approx. 400 ,Doug Hintze,Transuranic and Solid Waste Disposition; Soil and Groundwater Remediation; Facility Deactivation and Decommissioning,$191.63 million ,$6.25 billion - $7.33 billion / 2036,"<a href=""http://n3b-la.com/"">N3B-Los Alamos, LLC</a>  (Stoller Newport News Nuclear and BWXT Technical Services Group) --- responsible for legacy site cleanup and legacy waste management activities. ",https://www.energy.gov/em-la/environmental-management-los-alamos-field-office,https://www.facebook.com/Environmental-Management-Los-Alamos-Field-Office-205734283247525/,,"<a href=""https://www.energy.gov/em/downloads/los-alamos-national-laboratory-site-cleanup-numbers"">Los Alamos National Laboratory Cleanup By the Numbers</a>"
Waste Isolation Pilot Plant (WIPP) ,"Carlsbad, New Mexico (34 Louis Whitlock Road, Loving, NM 88256) ",32.272039,-104.147248,"Approx. 1,195",Todd Shrader ,Transuranic Waste Disposition,$403.49 million ,$7.13 billion - $7.54 billion / 2033-2042,"<ul><li> <a href=""http://nwp-wipp.com/"">Nuclear Waste Partnership, LLC</a> (AECOM and BWXT) --- responsible for site management operations</li>
<li> CAST Specialty Transportation --- responsible for transuranic waste shipments</li>
<li>Portage/North Wind --- responsible for technical assistance</li><ul>",http://www.wipp.energy.gov/,https://www.facebook.com/WIPPNews/,https://twitter.com/wippnews/,"<a href=""https://www.energy.gov/em/downloads/waste-isolation-pilot-plant-wipp-site-cleanup-numbers"">WIPP By the Numbers</a>"
Moab ,"Moab, Utah (200 Grand Ave.Suite 500 Grand Junction, CO 81501)",39.070179,-108.572161,Approx. 120 ,Russell McCallister,Soil and Groundwater Remediation ,$34.9 million ,$1.86 billion - $1.19 billion / 2034,North Wind,https://www.gjem.energy.gov/moab/,,,"<a href=""https://www.energy.gov/em/downloads/moab-site-cleanup-numbers"">Moab Cleanup By the Numbers</a>"
Energy Technology Engineering Center (ETEC) ,"Canoga Park, California ",34.198292,-118.600914,Approx. 20,John Jones,Facility Deactivation and Decommissioning,$8 million,TBD*<br>,"<ul><li> Boeing --- responsible for site support services</li>
<li> North Wind --- responsible for environmental monitoring and surveillance, maintenance services and facility deactivation and decommissioning. </li></ul>",https://www.etec.energy.gov/,,,"<a href=""https://www.energy.gov/em/downloads/energy-technology-engineering-center-etec-cleanup-numbers"">ETEC Cleanup By the Numbers</a>"
West Valley Demonstration Project,"West Valley, New York (10282 Rock Springs Road West Valley, NY 14171-9499)",42.449029,-78.656145,Approx. 200,Bryan Bower ,Facility Deactivation and Decommissioning; Transuranic and Solid Waste Disposition ,$63.69 million,$1.87 - $2.05 billion / 2040-2045,"<a href=""http://www.chbwv.com/"">CH2M Hill BWXT West Valley, LLC</a> (Jacobs, BWXT, Environmental Chemical Corp.)",http://www.wv.doe.gov/,https://www.facebook.com/West-Valley-Demonstration-Project-1728556480555670/,,"<a href=""https://www.energy.gov/em/downloads/west-valley-demonstration-project-site-cleanup-numbers"">West Valley Demonstration Project By the Numbers</a>"
Separations Process Research Unit (SPRU),"Niskayuna, New York (SPRU Project Office 2425 River Road Niskayuna, New York 12309-7100)",42.818415,-73.869234,Approx. 45,Steven Feinberg,Facility Deactivation and Decommissioning,$15 million,$233 million / 2021,AECOM ,http://spru.energy.gov/,,,"<a href=""https://www.energy.gov/em/downloads/separations-process-research-unit-spru-site-cleanup-numbers"">SPRU Cleanup By the Numbers</a>"
Brookhaven National Laboratory,"Upton, NY (98 Rochester St, Upton, NY 11973)",40.885205,-73.428869,0,John Sattler,Facility Deactivation and Decommissioning,$2 million,$486-491 million / 2020,"<a href=""http://bsa-hq.org/"">Brookhaven Science Associates</a> (Stony Brook University, Battelle) --- responsible for laboratory management and operations",http://www.bnl.gov/,,,
Lawrence Livermore National Laboratory ,"Tracy, California (7000 East Ave, Livermore, CA 94550)",37.687106,-121.705877,Approx. 15,Ariel Robertson<br> (Note: Work at LLNL is managed by the National Nuclear Security Administration),Soil and Groundwater Remediation ,$1.7 million,$545-555 million / 2023,"<a href=""https://www.llnsllc.com/"">Lawrence Livermore National Security, LLC</a> (Bechtel National, University of California, BWXT, AECOM) --- responsible for laboratory management and operations",http://www.llnl.gov/,,,
Sandia National Laboratories,"Outside of Albuquerque, New Mexico (1515 Eubank SE Albuquerque, NM 87123)",35.055314,-106.532426,Approx. 15,(Note: Work at SNL is managed by the National Nuclear Security Administration),Soil and Groundwater Remediation ,$2.6 million,$284-285-555 million / 2028,"<a href=""http://www.sandia.gov/"">National Technology and Engineering Solutions of Sandia, LLC</a> (Wholly owned subsidiary of Honeywell International) --- responsible for management and operations",http://www.sandia.gov/,,,
